Chemical compound	Metabolic activity	Microbial species or host cell type
D-Glucose (Glucose)	Consumption (import)	Anaerococcus tetradius
D-Glucose (Glucose)	Consumption (import)	Anaerococcus vaginalis
D-Glucose (Glucose)	Consumption (import)	Anaerostipes caccae
D-Glucose (Glucose)	Consumption (import)	Anaerotruncus colihominis
D-Glucose (Glucose)	Consumption (import)	Archaeoglobus fulgidus
D-Glucose (Glucose)	Consumption (import)	Azotobacter vinelandii
D-Glucose (Glucose)	Consumption (import)	Bacteroides fragilis
D-Glucose (Glucose)	Consumption (import)	Bacteroides ovatus
D-Glucose (Glucose)	Consumption (import)	Bacteroides thetaiotaomicron
D-Glucose (Glucose)	Consumption (import)	Bacteroides xylanisolvens
D-Glucose (Glucose)	Consumption (import)	Bifidobacterium adolescentis
D-Glucose (Glucose)	Consumption (import)	Bifidobacterium animalis
D-Glucose (Glucose)	Consumption (import)	Bifidobacterium bifidum
D-Glucose (Glucose)	Consumption (import)	Bifidobacterium breve
D-Glucose (Glucose)	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
D-Glucose (Glucose)	Consumption (import)	Blautia hansenii
D-Glucose (Glucose)	Consumption (import)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)
D-Glucose (Glucose)	Consumption (import)	Buchnera aphidicola
D-Glucose (Glucose)	Consumption (import)	Butyrivibrio fibrisolvens
D-Glucose (Glucose)	Consumption (import)	Butyrivibrio proteoclasticus
D-Glucose (Glucose)	Consumption (import)	Catenibacterium mitsuokai
D-Glucose (Glucose)	Consumption (import)	Clostridium acetobutylicum
D-Glucose (Glucose)	Consumption (import)	Clostridium beijerinckii
D-Glucose (Glucose)	Consumption (import)	Clostridium botulinum
D-Glucose (Glucose)	Consumption (import)	Clostridium butyricum
D-Glucose (Glucose)	Consumption (import)	Clostridium cellulolyticum
D-Glucose (Glucose)	Consumption (import)	Clostridium difficile
D-Glucose (Glucose)	Consumption (import)	Clostridium sporogenes
D-Glucose (Glucose)	Consumption (import)	Clostridium thermocellum
D-Glucose (Glucose)	Consumption (import)	Collinsella aerofaciens (Eubacterium aerofaciens)
D-Glucose (Glucose)	Consumption (import)	Collinsella intestinalis
D-Glucose (Glucose)	Consumption (import)	Collinsella stercoris
D-Glucose (Glucose)	Consumption (import)	Colonocyte (host colon)
D-Glucose (Glucose)	Consumption (import)	Coprococcus comes
D-Glucose (Glucose)	Consumption (import)	Coprococcus eutactus
D-Glucose (Glucose)	Consumption (import)	Desulfovibrio piger
D-Glucose (Glucose)	Consumption (import)	Dorea formicigenerans
D-Glucose (Glucose)	Consumption (import)	Dorea longicatena
D-Glucose (Glucose)	Consumption (import)	Enterococcus faecalis (Streptococcus faecalis)
D-Glucose (Glucose)	Consumption (import)	Escherichia coli
D-Glucose (Glucose)	Consumption (import)	Eubacterium hallii
D-Glucose (Glucose)	Consumption (import)	Eubacterium limosum
D-Glucose (Glucose)	Consumption (import)	Eubacterium rectale
D-Glucose (Glucose)	Consumption (import)	Eubacterium siraeum
D-Glucose (Glucose)	Consumption (import)	Faecalibacterium prausnitzii
D-Glucose (Glucose)	Consumption (import)	Fibrobacter succinogenes (Bacteroides succinogenes)
D-Glucose (Glucose)	Consumption (import)	Flavobacterium johnsoniae
D-Glucose (Glucose)	Consumption (import)	Fusobacterium nucleatum
D-Glucose (Glucose)	Consumption (import)	Haemophilus influenzae
D-Glucose (Glucose)	Consumption (import)	Haemophilus parainfluenzae
D-Glucose (Glucose)	Consumption (import)	Haloarcula marismortui
D-Glucose (Glucose)	Consumption (import)	Halobacterium salinarum
D-Glucose (Glucose)	Consumption (import)	Haloferax volcanii
D-Glucose (Glucose)	Consumption (import)	Holdemania filiformis
D-Glucose (Glucose)	Consumption (import)	Klebsiella pneumoniae
D-Glucose (Glucose)	Consumption (import)	Lactobacillus acidophilus
D-Glucose (Glucose)	Consumption (import)	Lactobacillus amylovorus
D-Glucose (Glucose)	Consumption (import)	Lactobacillus gasseri
D-Glucose (Glucose)	Consumption (import)	Lactobacillus johnsonii
D-Glucose (Glucose)	Consumption (import)	Lactobacillus plantarum
D-Glucose (Glucose)	Consumption (import)	Leptotrichia buccalis
D-Glucose (Glucose)	Consumption (import)	Leptotrichia goodfellowii
D-Glucose (Glucose)	Consumption (import)	Leptotrichia hofstadii
D-Glucose (Glucose)	Consumption (import)	Leuconostoc mesenteroides
D-Glucose (Glucose)	Consumption (import)	Marvinbryantia formatexigens
D-Glucose (Glucose)	Consumption (import)	Megamonas hypermegale
D-Glucose (Glucose)	Consumption (import)	Megasphaera micronuciformis
D-Glucose (Glucose)	Consumption (import)	Methanocaldococcus jannaschii
D-Glucose (Glucose)	Consumption (import)	Odoribacter splanchnicus
D-Glucose (Glucose)	Consumption (import)	Parabacteroides distasonis
D-Glucose (Glucose)	Consumption (import)	Parabacteroides merdae
D-Glucose (Glucose)	Consumption (import)	Peptostreptococcus anaerobius
D-Glucose (Glucose)	Consumption (import)	Picrophilus torridus
D-Glucose (Glucose)	Consumption (import)	Prevotella copri
D-Glucose (Glucose)	Consumption (import)	Prevotella ruminicola (Bacteroides ruminicola)
D-Glucose (Glucose)	Consumption (import)	Propionibacterium acnes
D-Glucose (Glucose)	Consumption (import)	Propionibacterium freudenreichii (Propionibacterium shermanii)
D-Glucose (Glucose)	Consumption (import)	Pseudomonas aeruginosa
D-Glucose (Glucose)	Consumption (import)	Pseudomonas mendocina
D-Glucose (Glucose)	Consumption (import)	Pyrobaculum aerophilum
D-Glucose (Glucose)	Consumption (import)	Pyrococcus furiosus
D-Glucose (Glucose)	Consumption (import)	Pyrococcus horikoshii
D-Glucose (Glucose)	Consumption (import)	Ralstonia pickettii
D-Glucose (Glucose)	Consumption (import)	Roseburia intestinalis
D-Glucose (Glucose)	Consumption (import)	Ruminococcus albus
D-Glucose (Glucose)	Consumption (import)	Ruminococcus obeum
D-Glucose (Glucose)	Consumption (import)	Selenomonas artemidis
D-Glucose (Glucose)	Consumption (import)	Selenomonas flueggei
D-Glucose (Glucose)	Consumption (import)	Selenomonas noxia
D-Glucose (Glucose)	Consumption (import)	Selenomonas sputigena
D-Glucose (Glucose)	Consumption (import)	Shigella boydii
D-Glucose (Glucose)	Consumption (import)	Sodalis glossinidius
D-Glucose (Glucose)	Consumption (import)	Streptococcus bovis (Streptococcus equinus)
D-Glucose (Glucose)	Consumption (import)	Streptococcus gordonii
D-Glucose (Glucose)	Consumption (import)	Streptococcus mutans
D-Glucose (Glucose)	Consumption (import)	Subdoligranulum variabile
D-Glucose (Glucose)	Consumption (import)	Sulfolobus acidocaldarius
D-Glucose (Glucose)	Consumption (import)	Sulfolobus solfataricus
D-Glucose (Glucose)	Consumption (import)	Thermococcus barophilus
D-Glucose (Glucose)	Consumption (import)	Thermococcus gammatolerans
D-Glucose (Glucose)	Consumption (import)	Thermococcus kodakaraensis
D-Glucose (Glucose)	Consumption (import)	Thermococcus onnurineus
D-Glucose (Glucose)	Consumption (import)	Thermococcus sibiricus
D-Glucose (Glucose)	Consumption (import)	Thermoplasma acidophilum
D-Glucose (Glucose)	Consumption (import)	Thermotoga maritima
D-Glucose (Glucose)	Consumption (import)	Xanthomonas campestris
D-Glucose (Glucose)	Consumption (import)	Zymomonas mobilis
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Actinobacillus succinogenes
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Bacteroides eggerthii
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Bacteroides fragilis
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Bacteroides ovatus
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Bacteroides thetaiotaomicron
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Bacteroides vulgatus
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Butyrivibrio proteoclasticus
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Escherichia coli
D-Glucuronic acid (D-Glucuronate)	Consumption (import)	Methylobacterium nodulans
D-Lyxose (L-Lyxose)	Consumption (import)	Bacteroides thetaiotaomicron
D-Lyxose (L-Lyxose)	Consumption (import)	Colonocyte (host colon)
D-Lyxose (L-Lyxose)	Consumption (import)	Methylobacterium nodulans
D-Mannitol (Mannitol)	Consumption (import)	Acidovorax avenae
D-Mannitol (Mannitol)	Consumption (import)	Acidovorax delafieldii
D-Mannitol (Mannitol)	Consumption (import)	Actinobacillus succinogenes
D-Mannitol (Mannitol)	Consumption (import)	Aeromicrobium marinum
D-Mannitol (Mannitol)	Consumption (import)	Bacteroides xylanisolvens
D-Mannitol (Mannitol)	Consumption (import)	Bifidobacterium bifidum
D-Mannitol (Mannitol)	Consumption (import)	Clostridium difficile
D-Mannitol (Mannitol)	Consumption (import)	Coprococcus catus
D-Mannitol (Mannitol)	Consumption (import)	Holdemania filiformis
D-Mannitol (Mannitol)	Consumption (import)	Lactobacillus acidophilus
D-Mannitol (Mannitol)	Consumption (import)	Lactobacillus casei
D-Mannitol (Mannitol)	Consumption (import)	Lactobacillus delbrueckii
D-Mannitol (Mannitol)	Consumption (import) & production (export)	Lactobacillus fermentum
D-Mannitol (Mannitol)	Consumption (import)	Lactobacillus gasseri
D-Mannitol (Mannitol)	Consumption (import)	Lactobacillus paracasei
D-Mannitol (Mannitol)	Consumption (import)	Lactobacillus plantarum
D-Mannitol (Mannitol)	Production (export)	Lactobacillus reuteri
D-Mannitol (Mannitol)	Consumption (import)	Lactobacillus rhamnosus
D-Mannitol (Mannitol)	Consumption (import)	Lactobacillus salivarius
D-Mannitol (Mannitol)	Consumption (import)	Mycobacterium smegmatis
D-Mannitol (Mannitol)	Consumption (import)	Shigella boydii
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus agalactiae
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus anginosus
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus australis
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus bovis (Streptococcus equinus)
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus cristatus
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus downei
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus dysgalactiae
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus equi
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus gallolyticus
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus gordonii
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus infantarius
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus infantis
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus mitis
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus mutans
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus oralis
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus parasanguinis
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus peroris
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus pneumoniae
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus pseudoporcinus
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus pyogenes
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus salivarius
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus sanguinis
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus suis
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus thermophilus
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus uberis
D-Mannitol (Mannitol)	Consumption (import)	Streptococcus vestibularis
D-Mannose (Mannose)	Consumption (import)	Achromobacter xylosoxidans
D-Mannose (Mannose)	Consumption (import)	Acidovorax delafieldii
D-Mannose (Mannose)	Consumption (import)	Alistipes shahii
D-Mannose (Mannose)	Consumption (import)	Anaerococcus hydrogenalis
D-Mannose (Mannose)	Consumption (import)	Anaerococcus lactolyticus
D-Mannose (Mannose)	Consumption (import)	Anaerococcus prevotii
D-Mannose (Mannose)	Consumption (import)	Anaerococcus tetradius
D-Mannose (Mannose)	Consumption (import)	Anaerococcus vaginalis
D-Mannose (Mannose)	Consumption (import)	Anaerotruncus colihominis
D-Mannose (Mannose)	Consumption (import)	Bacteroides ovatus
D-Mannose (Mannose)	Consumption (import)	Bacteroides thetaiotaomicron
D-Mannose (Mannose)	Consumption (import)	Bacteroides xylanisolvens
D-Mannose (Mannose)	Consumption (import)	Baumannia cicadellinicola
D-Mannose (Mannose)	Consumption (import)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)
D-Mannose (Mannose)	Consumption (import)	Butyrivibrio fibrisolvens
D-Mannose (Mannose)	Consumption (import)	Butyrivibrio proteoclasticus
D-Mannose (Mannose)	Consumption (import)	Catenibacterium mitsuokai
D-Mannose (Mannose)	Consumption (import)	Clostridium acetobutylicum
D-Mannose (Mannose)	Consumption (import)	Collinsella aerofaciens (Eubacterium aerofaciens)
D-Mannose (Mannose)	Consumption (import)	Collinsella intestinalis
D-Mannose (Mannose)	Consumption (import)	Colonocyte (host colon)
D-Mannose (Mannose)	Consumption (import)	Coprococcus eutactus
D-Mannose (Mannose)	Consumption (import)	Flavobacterium johnsoniae
D-Mannose (Mannose)	Consumption (import)	Holdemania filiformis
D-Mannose (Mannose)	Consumption (import)	Lactobacillus acidophilus
D-Mannose (Mannose)	Consumption (import)	Leptotrichia buccalis
D-Mannose (Mannose)	Consumption (import)	Leptotrichia goodfellowii
D-Mannose (Mannose)	Consumption (import)	Marvinbryantia formatexigens
D-Mannose (Mannose)	Consumption (import)	Megamonas hypermegale
D-Mannose (Mannose)	Consumption (import)	Odoribacter splanchnicus
D-Mannose (Mannose)	Consumption (import)	Parabacteroides distasonis
D-Mannose (Mannose)	Consumption (import)	Parabacteroides merdae
D-Mannose (Mannose)	Consumption (import)	Peptostreptococcus anaerobius
D-Mannose (Mannose)	Consumption (import)	Ruminococcus obeum
D-Mannose (Mannose)	Consumption (import)	Shigella boydii
D-Mannose (Mannose)	Consumption (import)	Subdoligranulum variabile
D-Mannose (Mannose)	Consumption (import)	Sulfolobus solfataricus
D-Psicose	Consumption (import)	Bacteroides ovatus
D-Psicose	Consumption (import)	Bacteroides thetaiotaomicron
D-Psicose	Consumption (import)	Bacteroides uniformis
D-Psicose	Consumption (import)	Bacteroides xylanisolvens
D-Psicose	Consumption (import)	Bifidobacterium adolescentis
D-Psicose	Consumption (import)	Bifidobacterium angulatum
D-Psicose	Consumption (import)	Bifidobacterium animalis
D-Psicose	Consumption (import)	Bifidobacterium bifidum
D-Psicose	Consumption (import)	Bifidobacterium breve
D-Psicose	Consumption (import)	Bifidobacterium catenulatum
D-Psicose	Consumption (import)	Bifidobacterium dentium
D-Psicose	Consumption (import)	Bifidobacterium gallicum
D-Psicose	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
D-Psicose	Consumption (import)	Bifidobacterium pseudocatenulatum
D-Psicose	Consumption (import)	Ruminococcus albus
D-Psicose	Consumption (import)	Ruminococcus bromii
D-Psicose	Consumption (import)	Ruminococcus flavefaciens
D-Psicose	Consumption (import)	Ruminococcus gnavus
D-Psicose	Consumption (import)	Ruminococcus lactaris
D-Psicose	Consumption (import)	Ruminococcus obeum
D-Psicose	Consumption (import)	Ruminococcus torques
D-Ribose (Ribose)	Consumption (import)	Acidovorax avenae
D-Ribose (Ribose)	Consumption (import)	Acidovorax delafieldii
D-Ribose (Ribose)	Consumption (import)	Bacteroides ovatus
D-Ribose (Ribose)	Consumption (import)	Bacteroides thetaiotaomicron
D-Ribose (Ribose)	Consumption (import)	Bifidobacterium breve
D-Ribose (Ribose)	Consumption (import)	Collinsella aerofaciens (Eubacterium aerofaciens)
D-Ribose (Ribose)	Consumption (import)	Collinsella intestinalis
D-Ribose (Ribose)	Consumption (import)	Colonocyte (host colon)
D-Ribose (Ribose)	Consumption (import)	Enterococcus faecalis (Streptococcus faecalis)
D-Ribose (Ribose)	Consumption (import)	Escherichia coli
D-Ribose (Ribose)	Consumption (import)	Holdemania filiformis
D-Ribose (Ribose)	Consumption (import)	Methylobacterium nodulans
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Acidovorax avenae
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Acidovorax delafieldii
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Actinobacillus succinogenes
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Aeromonas salmonicida
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Bacteroides xylanisolvens
D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	Clostridium difficile
